category_title,product_id,supplier_id,product_name,unit_price,supplier_name
類比-IC,AX3112,AXElite,DC-DC Converter,270,亞瑟萊特
類比-IC,AX3701,AXElite,Car Charging IC,296,亞瑟萊特
類比-IC,AnD8400,AnDAPT,AnDAPT Adaptable PMIC,104,AnDAPT
積體電路-IC,ANX7443,Analogix,10G Active Mux (6x4) with Integrated Re-timers for USB3.2/DisplayPort1.4,209,矽谷數模半導體公司
積體電路-IC,"PT4161L, PT5161L",Astera Labs,Smart Retimer,271,Astera Labs
記憶體,,Avalanche Technology,Embedded MRAM,240,Avalanche Technology
記憶體,,Avalanche Technology,Discrete MRAM,104,Avalanche Technology
嵌入式模組,G6_Sensor Pamphlet,BARAJA,光譜掃描激光雷達,58,BARAJA
嵌入式模組,G6_Sensor Pamphlet,BARAJA,光譜掃描激光雷達,230,BARAJA
積體電路-IC,BOS1901,Boréas Technologies,Piezo Haptic Driver,238,博亞斯科技
記憶體,DDR4,CXMT,DRAM,270,長鑫存儲技術有限公司
類比-IC,CY2332 / CY6572,Canyon Semiconductor,USB PD充電器 / 車充模組,10,耕源科技
類比-IC,CL8040,Celeno,Wi-Fi 6 (802.11ax) R2 Concurrent Dual Band 4T4R PCIe Chip,29,Celeno
類比-IC,CL8046,Celeno,Wi-Fi 6E (802.11ax) Concurrent Dual Transceivers 4T4R PCIe Chip,71,Celeno
類比-IC,CL8060,Celeno,Wi-Fi 6 (802.11ax) R2 Concurrent Dual Band 6T6R PCIe Chip,115,Celeno
類比-IC,CL8066,Celeno,Wi-Fi 6E (802.11ax) Concurrent Dual Transceivers 6T6R PCIe Chip,104,Celeno
類比-IC,CL8080,Celeno,Wi-Fi 6 (802.11ax) R2 Concurrent Dual Band 8T8R PCIe Chip,225,Celeno
微型組件,CFD30201,Credo,Seagull 110 Optical DSP,181,默升科技
微型組件,CFD60801,Credo,SEAGULL XR8 Optical DSP,163,默升科技
微型組件,"Seagull 50, Seagull 200",Credo,Optical DSP,56,默升科技
連接器,Bald Eagle Retimer,Credo,Backplane & Line Card Connectivity,156,默升科技
連接器,Raptor 100 DSP,Credo,Optical Connectivity,248,默升科技
軟體類,000,Cyberlink,FaceMe® Security,50,訊連科技
軟體類,000,Cyberlink,FaceMe® AI 臉部辨識引擎 (SDK),295,訊連科技
軟體類,000,Cyberlink,FaceMe® Health,200,訊連科技
嵌入式模組,Nano RFID modules (LF or HF),ELATEC,單頻RFID模組,65,ELATEC
嵌入式模組,Nano RFID modules (LF or HF),ELATEC,單頻RFID模組,31,ELATEC
嵌入式模組,TWN4 Family (HF and LF),ELATEC,多頻RFID模組,52,ELATEC
嵌入式模組,TWN4 Family (HF and LF),ELATEC,多頻RFID模組,42,ELATEC
微型組件,"FT9371, FT9362",FocalTech,Capacitive Fingerprint Sensor,157,敦泰電子股份有限公司
微型組件,Smart Phone Application,FocalTech,Capacitive Touch Controller,109,敦泰電子股份有限公司
積體電路-IC,,FocalTech,TFT-LCD Driver,199,敦泰電子股份有限公司
電池,AA & AAA $ SC  cell,GP,Rechargeable Batteries-NiMH,108,金山電池國際有限公司
電池,CR123A,GP,GP Primary Lithium,227,金山電池國際有限公司
電池,CR2025,GP,鈕型電池 / 鈕扣電池,95,金山電池國際有限公司
電池,GP Supercell Carbon Zinc AA,GP,Primary Batteries,117,金山電池國際有限公司
電池,Mini-Lithium Series,GP,Rechargeable Batteries-Lithium,225,金山電池國際有限公司
記憶體,GD25xx,GigaDevice,SPI Nor Flash,35,北京兆易創新科技股份有限公司
記憶體,GD5Fxx,GigaDevice,SPI NAND Flash,135,北京兆易創新科技股份有限公司
嵌入式模組,HSD050GDW1-B00-P,Hannstar,5-inch PND/Car Display,48,瀚宇彩晶
嵌入式模組,HSD050GDW1-B00-P,Hannstar,5-inch PND/Car Display,158,瀚宇彩晶
類比-IC,IP6505,Injoinic,Synchronous-Rectified Buck Converter,269,英集芯科技
類比-IC,IP6806,Injoinic,Wireless charger IC,259,英集芯科技
嵌入式模組,N116BCA,Innolux,11.6” TFT Liquid Crystal Display NB module,265,群創光電股份有限公司
嵌入式模組,N116BCA,Innolux,11.6” TFT Liquid Crystal Display NB module,211,群創光電股份有限公司
軟體類,000,Innoviz,Perception Software,262,Innoviz
離散式元件,2N3904,KEC,Bipolar Transistor,245,台灣開益喜股份有限公司
離散式元件,KMA2D4P20SA,KEC,MOSFET,217,台灣開益喜股份有限公司
離散式元件,MBRD10U200CT,KEC,Diode,119,台灣開益喜股份有限公司
記憶體,,Kingston Technology,伺服器記憶體 – 適用於資料中心的 DRAM,156,金士頓
記憶體,,Kingston Technology,Canvas Select Plus microSD 記憶卡,263,金士頓
記憶體,KSM32RS8/16MER,Kingston Technology,Memory Module,24,金士頓
